codigo,nombre,poblacion,superficie_km2,densidad_pobl,urbano,analfabetismo,fin_secundaria_inmediata,fin_secundaria_adultos,participacion_mujeres,agua_mejorada,saneamiento_mejorado,electricidad,desempleo_adulto,desempleo_joven,tics_internet,tics_celular,hogares
ARG064410441,La Plata,756074,893,860.5487,0.9787899591405445,0.010823595044325666,0.6930386740331491,0.6652378734741851,0.6935681484036085,0.9181639972176301,0.8628869797736164,0.9982113336404781,0.05593943968876352,0.12819352243009455,,0.8783616538840258,221792
ARG064480448,Laprida,11496,3448,3.3776,0,0.014770459081836327,0.294478527607362,0.4015374180420529,0.6298092466860653,0.866647465437788,0.6820276497695853,0.9971198156682026,0.036483516483516484,0.09242618741976893,,0.8914170506912442,3482
ARG064550455,Las Flores,27136,3341,8.1529,0,0.014068378864714542,0.451505016722408,0.39752019537854594,0.5929239528263521,0.8934615852916109,0.7385851698526725,0.9918422013880434,0.03395974434799199,0.08138238573021182,,0.8661877511262632,8230
ARG064620462,Leandro N. Alem,17153,1606,10.7509,0,0.021198888447796743,0.506578947368421,0.40789290196625294,0.6161315893777249,0.6612484869444925,0.7248832785751339,0.9937748573404807,0.04163813176277222,0.09234411996842937,,0.8689261628912329,5797
ARG064660466,Lezama,6170,1047,5.9417,0,,,,,,,,,,,,
ARG064690469,Lincoln,45191,5778,7.8757,0,0.013334579555721718,0.4572514249525016,0.4557358234649695,0.6073709317534816,0.8145649779735682,0.7553001101321586,0.9958012114537445,0.03778762930124551,0.0865857658248606,,0.8760324889867841,14548
ARG064760476,Lobería,18106,4720,3.865,0,0.016228690538226755,0.4099290780141844,0.3542011985209741,0.5958735566912738,0.8176889190105049,0.7736360555743815,0.9962724500169434,0.03666959688559588,0.08567415730337079,,0.8797017960013555,5920
ARG064830483,Lobos,41418,1726,24.1947,0,0.013726861222537077,0.4199869366427172,0.399520059069653,0.6034467363157425,0.6065197038045791,0.7037194654864245,0.9955740914120351,0.04460966542750929,0.10078791858174656,,0.8791386500978807,11769
ARG064900490,Lomas de Zamora,685644,89,7756.4382,0.9999999999757718,0.020170760686358487,0.5025903359290997,0.4481941875734804,0.6386671107671509,0.983375613682945,0.5915506384421059,0.9971718947775383,0.06339617564454011,0.11725979237836225,,0.8346935424930754,188957
ARG064970497,Luján,110111,771,143.9792,0.8820206309484702,0.02248793738604086,0.5011263567479008,0.4765636277400862,0.6341276168541649,0.4879453481604019,0.7363600159299084,0.9982232025242778,0.05824236140757456,0.11822817080943276,,0.8698955365622032,32703
ARG065050505,Magdalena,22653,1850,14.5027,0,0.0203158747300216,0.46219512195121953,0.4463667820069204,0.6166121899634686,0.7456140350877193,0.7680104516610675,0.9966405375139978,0.04673135852911134,0.10642201834862386,,0.868234415826801,5375
ARG065110511,Maipú,11253,2604,4.3483,0,0.016591639871382638,0.45498783454987834,0.4447661469933185,0.6466257668711657,0.9083260806498404,0.6263417464461851,0.9915868871482449,0.03856152512998267,0.09637046307884856,,0.9013635044966638,3454
ARG065150515,Malvinas Argentinas,349401,63,5566.254,1,0.014771997430956968,0.4659900930288752,0.3801397047150341,0.6099805327382366,0.1180370613864034,0.6501008435198289,0.9993314241779303,0.07311202290947756,0.149263463647411,,0.8595990773653656,89807
ARG065180518,Mar Chiquita,32973,3089,10.7187,0.436874045980285,0.0115346656797434,0.5491124260355029,0.4693750647735517,0.5798816568047337,0.5539002108222066,0.7486999297259311,0.9957835558678847,0.061747941735275494,0.12667054038349795,,0.9065354884047786,7146
ARG065250525,Marcos Paz,64761,422,158.7938,0.9948850043029189,0.01689233088177967,0.42529141646061464,0.3568054773150756,0.5527144934561319,0.865379366812227,0.6123089519650655,0.9970660480349345,0.06255479572155007,0.11852704257767549,,0.8577374454148472,14672
ARG065320532,Mercedes,71002,1050,69.5048,0,0.009832657727886914,0.525399129172714,0.5407397059337129,0.6314624823979079,0.848634500469159,0.8048298681416367,0.9939256259568374,0.06735949393486497,0.15678776290630975,,0.8813274729616277,20293
ARG065390539,Merlo,581484,174,3347.6207,1,0.0148524848996677,0.42341704987619383,0.361739045031183,0.5671982303031703,0.47310206133735544,0.6896443955267485,0.9988449988449989,0.07484210657442894,0.13120926050797932,,0.8508689685160273,147263
ARG065470547,Monte,24616,1876,13.2559,0,0.012351967400993251,0.4042328042328042,0.40653910849453323,0.587739822180627,0.7578563837862455,0.7768331562167907,0.9955973887961136,0.04003793067116215,0.07775377969762419,,0.8862911795961743,6613
ARG065530553,Monte Hermoso,8444,200,42.325,0,0.007046506945842561,0.4144486692015209,0.4849799732977303,0.6512330145948666,0.8451308451308451,0.897897897897898,0.9952809952809952,0.039190491487311276,0.08834586466165413,,0.9064779064779065,2351
ARG065600560,Moreno,575758,186,3100.172,1,0.01754287144824133,0.44748207139744045,0.36864390281887555,0.5793153458844134,0.4616351390544939,0.665793883535819,0.9973655376881183,0.07909012809251233,0.1538446046642768,,0.8991170120202379,124176
ARG065680568,Morón,329517,55,6021.5091,0.9999999999017322,0.00996904693904331,0.5721449254890882,0.6125210541646088,0.6789600910484682,0.8313165198052647,0.8960071764299129,0.999280488146743,0.0635535546016124,0.15209428830462376,,0.8523785940551502,107128
ARG065740574,Navarro,19888,1620,12.2833,0,0.019235373932476655,0.4600997506234414,0.3315522308308843,0.5680643308443424,0.797970306333396,0.5794023679759444,0.9939860928396917,0.03329338127580237,0.07947019867549669,,0.8808494643863936,5330
ARG065810581,Necochea,101483,4566,22.3631,0.8590635873206988,0.010497027949917795,0.4623773173391494,0.4645740551096716,0.5837699897924464,0.9491465718769014,0.8451019950683704,0.9971499023281136,0.06787675787503386,0.14704638375863527,,0.8782143657732091,31358
ARG065880588,9 de Julio,52366,4291,12.2598,0,0.012637969094922737,0.417636252296387,0.4541674541674542,0.6244356273087974,0.8549178317390238,0.7819475104243316,0.9966274221241108,0.04427459570303398,0.10075431034482758,,0.86822418444935,16344
ARG065950595,Olavarría,122011,7666,16.4037,0.7594387365172965,0.009249670495198644,0.48438538205980064,0.45730836534786895,0.6056451612903225,0.7455887158261627,0.7574610608866137,0.9971136041825509,0.053704907377315564,0.1263025306309401,,0.8722361398540464,36838
ARG066020602,Patagones,37499,13564,2.7754,0.5934634367288704,0.025519600105235463,0.4593929450369155,0.43707693427469246,0.6282212445003142,0.9249729942060297,0.7894530099184917,0.9903761170578415,0.05828727298829948,0.13254035683942225,,0.8944318962977511,10207
ARG066090609,Pehuajó,44594,4523,9.9012,0,0.015119655552217883,0.4553275976174719,0.45938628158844763,0.640983740501675,0.8625860195581311,0.7119884099963781,0.9960883737776168,0.04475223485266527,0.09928848641655887,,0.8584570807678378,13831
ARG066160616,Pellegrini,7112,1821,3.9226,0,0.009335407868415203,0.4247787610619469,0.38697743248242694,0.643993417443774,0.790952380952381,0.8247619047619048,0.9976190476190476,0.031018681706027493,0.05714285714285714,,0.910952380952381,2100
ARG066230623,Pergamino,114988,3005,38.3827,0.852957051181058,0.011442154918648619,0.5218177707438391,0.4715903231794089,0.6066160425940473,0.9222802386963508,0.833457654349323,0.9976761533165022,0.06670723518549605,0.14402679568291776,,0.8541714482442048,34904
ARG066300630,Pila,4615,3449,1.3459,0,0.011725906925613778,0.5638297872340425,0.39662447257383965,0.5744125326370757,0.654320987654321,0.7135802469135804,0.9909465020576131,0.03341288782816229,0.09646302250803858,,0.9316872427983539,1223
ARG066380638,Pilar,393614,385,1025.3351,0.9686380741111394,0.01602156209020657,0.5132749192963963,0.43449843913351804,0.6206502599362737,0.2701818578334565,0.6424270327247174,0.9982553279135418,0.059948906366611175,0.12202161434114742,,0.9009413959799847,82608
ARG066440644,Pinamar,39224,66,597.7121,0,0.015535126099995083,0.5342080599812559,0.5200228832951945,0.6555680259383964,0.6840950639853748,0.8143814747105425,0.9991468616697137,0.06417849898580122,0.14696337505795085,,0.867519804996953,8425
ARG066480648,Presidente Perón,101994,122,836.9344,1,0.024376365204941353,0.4002433090024331,0.3373446327683616,0.5401267367260991,0.7113921687590423,0.6173052690530638,0.9956130116208523,0.07540687687425393,0.13989071038251366,,0.8410416763896019,21430
ARG066510651,Puán,16391,6376,2.6056,0,0.012901220175643118,0.5676229508196722,0.45804486291885904,0.6717224184500311,0.8731036662452591,0.7520543615676359,0.9971554993678888,0.033015702590256345,0.08571428571428572,,0.8506637168141593,6354
ARG066550655,Punta Indio,12161,1605,7.6617,0,0.011915795048325168,0.5070422535211268,0.48177203507152744,0.6239809782608695,0.7656021095810138,0.7878699091708175,0.9958980369176678,0.051677243880326386,0.12182061579651941,,0.8485203633167302,3431
ARG066580658,Quilmes,631774,92,6884.6848,0.999999999997073,0.01378448389277273,0.5108045977011494,0.48742853206585385,0.6175444434623004,0.990446345388329,0.724299144575252,0.9986279325823665,0.0722491369557019,0.13715073162771302,,0.8393551847773919,177246
ARG066650665,Ramallo,39648,1048,37.9103,0.21608810030023767,0.01962949331370384,0.4470108695652174,0.4070138150903294,0.5454807138744963,0.9408881482207626,0.793059503970199,0.9948044309381433,0.05771372876636034,0.12186115214180207,,0.8766787569846094,10217
ARG066720672,Rauch,16491,4313,3.8569,0,0.013778162911611784,0.392226148409894,0.3891442977903011,0.6507321274763135,0.8505164319248826,0.8471361502347418,0.9962441314553991,0.030157157015432534,0.07797427652733119,,0.8835680751173709,5336
ARG066790679,Rivadavia,19735,3955,5.0187,0,0.016316459726201847,0.41051314142678347,0.36719357346462816,0.5773592158370171,0.6638701440817071,0.7813240926500091,0.9959875980302755,0.037835743801652895,0.0984060984060984,,0.8938537297100128,5489
ARG066860686,Rojas,25619,2060,12.4403,0,0.013830493472007082,0.49836779107725787,0.46863468634686345,0.6129385964912281,0.9159800249687889,0.8009987515605492,0.9967540574282147,0.055487169775589436,0.13602305475504323,,0.8775280898876404,8017
ARG066930693,Roque Pérez,13901,1556,8.9826,0,0.017276099629040805,0.42452830188679247,0.34587270458192193,0.5838150289017341,0.5157159487776485,0.7534342258440047,0.9923166472642608,0.02647370278856336,0.05013927576601671,,0.9091967403958091,4305
ARG067000700,Saavedra,21407,3546,6.3556,0,0.008267979816402213,0.5106951871657754,0.5137309590216692,0.6889707059388507,0.925768967874231,0.8838004101161996,0.9994531784005468,0.04040820533965571,0.10082961072112316,,0.8822966507177034,7354
ARG067070707,Saladillo,35423,2706,13.1766,0,0.017181011318296555,0.49548872180451126,0.4260796173864116,0.6228450448633935,0.8542904903417533,0.7104383358098068,0.9959138187221396,0.03391933815925543,0.08134532655455612,,0.8768573551263001,10787
ARG067140714,Salto,39257,1611,24.4724,0,0.017358705839207855,0.4563176895306859,0.4218517012335638,0.5814416567104739,0.9078491907568529,0.6849097202731781,0.9961642810365796,0.0427063339731286,0.09592233009708738,,0.8815604827392647,10707
ARG067210721,Salliqueló,9344,796,11.843,0,0.015151515151515152,0.40181268882175225,0.4225741578682755,0.6559259259259259,0.8855154965211892,0.7539531941808981,0.9981024667931688,0.033748204882719006,0.07356948228882834,,0.8953194180898165,3178
ARG067280728,San Andrés de Giles,26399,1129,23.481,0,0.01961242120009339,0.4618086040386304,0.3917345750873108,0.6056518034649248,0.5901976935749589,0.6025535420098846,0.9869577155409116,0.03370470929688232,0.07187780772686433,,0.8735584843492586,7297
ARG067350735,San Antonio de Areco,26695,862,31.203,0,0.01331815594763802,0.5163934426229508,0.45604703247480405,0.6551345414607359,0.7802809066889168,0.5983868724794883,0.999721874565429,0.03623580313683072,0.08013765978367748,,0.883882631066611,7221
ARG067420742,San Cayetano,8918,2997,2.9843,0,0.011543134872417983,0.47435897435897434,0.3846547314578005,0.5916030534351145,0.8328267477203647,0.8135764944275582,0.9976359338061466,0.04106722469264975,0.09983361064891846,,0.8885511651469098,2968
ARG067490749,San Fernando,171099,993,172.8258,0.9886244106916182,0.014129963551116748,0.5081544057256835,0.5080812479188546,0.6738674033149171,0.9730686738699365,0.8740844158471934,0.9986038606288697,0.05955719557195572,0.1178803842578246,,0.8510177653676501,49491
ARG067560756,San Isidro,295978,52,5716.9615,0.9999999999953533,0.007350040927810129,0.7229770992366412,0.7437294314916474,0.7253696310710775,0.9888861573761087,0.9280621965460021,0.9997131911580932,0.06190827331024584,0.14208165265578468,,0.8787822916026469,97737
ARG067600760,San Miguel,327650,83,3961.8675,1,0.011755015020835351,0.533772874058127,0.4949570357730514,0.6315243915606712,0.4268949261878179,0.7625604763676963,0.9982260265475748,0.06300747723588775,0.12079166810836996,,0.88036223793574,80667
ARG067630763,San Nicolás,166657,681,246.4376,0.9285748158501097,0.01407842925724149,0.5548617305976806,0.5285553177953849,0.558296198665244,0.9829391667036429,0.8179881971868482,0.9978257975773173,0.07174810736407433,0.16372933978632087,,0.8620712605936903,45139
ARG067700770,San Pedro,68353,1357,50.5623,0,0.021924397020710265,0.39261137269105395,0.37932753134225355,0.5889016581842063,0.9309690363863131,0.8006073423350144,0.9882327422590965,0.07312178127840048,0.15172289373985207,,0.837156336424272,18479
ARG067780778,San Vicente,97929,661,148.5855,0.9984816101050813,0.016161323781267337,0.4370118845500849,0.41020914835991573,0.5723515591627509,0.5181701332086935,0.7089273194671653,0.9964360831970086,0.07303370786516854,0.13505547850208044,,0.8732180415985044,17121
ARG067840784,Suipacha,11736,943,12.4984,0,0.013916767027967349,0.425764192139738,0.4072743601257297,0.5727243278263686,0.7784019975031211,0.6410736579275905,0.9946941323345817,0.04206757663906914,0.08102345415778252,,0.8879525593008739,3212
ARG067910791,Tandil,144678,4855,29.9846,0.8944961969261005,0.006990609938507562,0.6430918208542279,0.5720507672938855,0.6553736584400811,0.932267408179817,0.837863515235778,0.9982620785540494,0.06161462427455637,0.13151948785539447,,0.8967674661105318,43356
ARG067980798,Tapalqué,10695,4169,2.5865,0,0.019281719163968206,0.46745562130177515,0.36081713019936007,0.5857755539671193,0.7129307619348719,0.7024976288333861,0.9914638001896933,0.0343186372745491,0.09204368174726989,,0.8887132469174834,3170
ARG068050805,Tigre,446291,394,1134.3883,0.9905636800147667,0.011400037341162775,0.46611515915192026,0.49094794225527477,0.6504761904761904,0.6567594451710353,0.6470425700443937,0.999465802125739,0.06350010348245701,0.12775166626835552,,0.8780002578886289,108630
ARG068120812,Tordillo,2528,1334,1.9055,0,0.021919879062736205,0.49473684210526314,0.33462033462033464,0.5583941605839416,0.474910394265233,0.6326164874551972,0.9695340501792116,0.038510911424903725,0.10555555555555556,,0.910394265232975,563
ARG068190819,Tornquist,14591,4160,3.5601,0,0.011842633480529908,0.45394736842105265,0.47403910991233983,0.6428210313447927,0.8532393124724548,0.8223887174966946,0.9962538563243719,0.043183322303110526,0.11075612353567625,,0.8854120758043191,4565
ARG068260826,Trenque Lauquen,49128,5498,8.9685,0,0.012431842966194111,0.421301775147929,0.4715710596931801,0.6560315335415737,0.8734761347200221,0.9029547489496522,0.9985536193952752,0.03775416120735672,0.09052690582959641,,0.8923479578483366,14538
ARG068330833,Tres Arroyos,61889,5927,10.5325,0,0.008940174770333856,0.4485183324962331,0.4926316591142759,0.6137295081967213,0.8826639000049404,0.7803468208092486,0.9981720270737612,0.04961036957024921,0.10009578544061302,,0.8891853169309817,20301
ARG068400840,Tres de Febrero,362319,45,8092.8,1,0.010284302518529444,0.5700860879279753,0.5604067739631046,0.6684141546526867,0.9522114490636207,0.9086022933545843,0.9993181918802851,0.059264656229452845,0.12295271812857757,,0.8463186788860849,113035
ARG068470847,Tres Lomas,9090,1252,7.3195,0,0.0125,0.43567251461988304,0.4136567360928025,0.6237211064797271,0.8873531444367657,0.7052522460262612,0.9961990324809953,0.03733060598312452,0.08615384615384615,,0.8928818244644091,2901
ARG068540854,25 de Mayo,35411,4789,7.4448,0,0.019190776752161697,0.4030188679245283,0.3801139637620846,0.5804775792927451,0.8386759020618557,0.6203286082474226,0.9943621134020618,0.04180892868646525,0.09127272727272727,,0.8734697164948454,12447
ARG068610861,Vicente López,280541,35,8065.1714,0.9999999999483572,0.0038531430127738612,0.754957264957265,0.8032341460199351,0.749421859128142,0.9986174324610712,0.982753226831902,0.9998788991936705,0.04441918998250005,0.10745053488592256,,0.8713606684764509,99213
ARG068680868,Villa Gesell,37325,164,228.4329,0,0.01060612514375772,0.4731420161883738,0.5014225714672809,0.6194797338173019,0.9038943512627724,0.7992095623674571,0.9988432620011567,0.0607213203830741,0.13378684807256236,,0.8461538461538461,10508
ARG068750875,Villarino,32552,10399,3.1462,0.003890632787963438,0.027478400285027165,0.32465753424657534,0.2970467289719626,0.5409245122985581,0.8405460060667341,0.6517694641051567,0.9887765419615774,0.09333031537649011,0.16170525542080116,,0.901314459049545,9907
ARG068820882,Zárate,131415,1185,111.5789,0.8142339710582263,0.013812416935636986,0.499809958190802,0.4685714285714286,0.5425645342312009,0.9551777888885621,0.7289197376547748,0.9964118702391106,0.05410697516433895,0.1149087859089956,,0.8736507749772066,34037
ARG6,Buenos Aires,17523996,305907,57.28537104414087,,0.01332197208152954,0.5097883542060118,0.4785155212894601,0.6256227340408581,0.7580050984057459,0.7609282873816963,0.9979170790745692,0.06585086427077264,0.13483810110630287,,0.8614864893082991,4796105